field_name,raw_value,label,description,value_type,is_missing_value,is_exempt_value,is_not_applicable,is_no_coapplicant,include_in_default_denominator,year_start,year_end
activity_year,2017,2017,2017,categorical,0,0,0,0,1,2017,
activity_year,2018,2018,2018,categorical,0,0,0,0,1,2017,
activity_year,2019,2019,2019,categorical,0,0,0,0,1,2017,
activity_year,2020,2020,2020,categorical,0,0,0,0,1,2017,
activity_year,2021,2021,2021,categorical,0,0,0,0,1,2017,
activity_year,2022,2022,2022,categorical,0,0,0,0,1,2017,
activity_year,2023,2023,2023,categorical,0,0,0,0,1,2017,
activity_year,2024,2024,2024,categorical,0,0,0,0,1,2017,
activity_year,2025,2025,2025,categorical,0,0,0,0,1,2017,
derived_loan_product_type,Conventional:First Lien,Conventional:First Lien,Conventional:First Lien,categorical,0,0,0,0,1,2017,
derived_loan_product_type,FHA:First Lien,FHA:First Lien,FHA:First Lien,categorical,0,0,0,0,1,2017,
derived_loan_product_type,VA:First Lien,VA:First Lien,VA:First Lien,categorical,0,0,0,0,1,2017,
derived_loan_product_type,FSA/RHS:First Lien,FSA/RHS:First Lien,FSA/RHS:First Lien,categorical,0,0,0,0,1,2017,
derived_loan_product_type,Conventional:Subordinate Lien,Conventional:Subordinate Lien,Conventional:Subordinate Lien,categorical,0,0,0,0,1,2017,
derived_loan_product_type,FHA:Subordinate Lien,FHA:Subordinate Lien,FHA:Subordinate Lien,categorical,0,0,0,0,1,2017,
derived_loan_product_type,VA:Subordinate Lien,VA:Subordinate Lien,VA:Subordinate Lien,categorical,0,0,0,0,1,2017,
derived_loan_product_type,FSA/RHS:Subordinate Lien,FSA/RHS:Subordinate Lien,FSA/RHS:Subordinate Lien,categorical,0,0,0,0,1,2017,
derived_dwelling_category,Single Family (1-4 Units):Site-Built,Single Family (1-4 Units):Site-Built,Single Family (1-4 Units):Site-Built,categorical,0,0,0,0,1,2017,
derived_dwelling_category,Multifamily:Site-Built,Multifamily:Site-Built (5+ Units),Multifamily:Site-Built (5+ Units),categorical,0,0,0,0,1,2017,
derived_dwelling_category,Single Family (1-4 Units):Manufactured,Single Family (1-4 Units):Manufactured,Single Family (1-4 Units):Manufactured,categorical,0,0,0,0,1,2017,
derived_dwelling_category,Multifamily:Manufactured,Multifamily:Manufactured (5+ Units),Multifamily:Manufactured (5+ Units),categorical,0,0,0,0,1,2017,
conforming_loan_limit,C,Conforming,Conforming,categorical,0,0,0,0,1,2017,
conforming_loan_limit,NC,Nonconforming,Nonconforming,categorical,0,0,0,0,1,2017,
conforming_loan_limit,U,Undetermined,Undetermined,categorical,0,0,0,0,1,2017,
